n_ws^third_max_value,ShearModulus_max_value,Group_composition_average,Column_composition_average,GSenergy_pa_composition_average,AtomicVolume_difference,ThirdIonizationEnergy_min_value,NsUnfilled_arithmetic_average,SecondIonizationEnergy_min_value,AtomicVolume_min_value,BCCenergy_pa_composition_average,ICSDVolume_min_value,NdValence_composition_average,valence_max_value,NsValence_arithmetic_average,valence_difference,Electronegativity_composition_average,IsBoron_difference,IsBoron_composition_average,IsBoron_arithmetic_average,valence_composition_average,NpUnfilled_difference,ShearModulus_difference,IsBoron_max_value,NValance_difference
1.63,69.0,12.8,12.8,-4.9456397675,18575.12151853951,34.22,0.2,11.03,17.0756479498908,-3.5286193169999995,17.0,2.3,5.0,1.7999999999999998,3.0,2.703,0.0,0.0,0.0,2.5,2.0,62.9,0.0,17.0
1.63,69.0,12.8,12.8,-5.0265276135,18575.12151853951,33.492,0.2,11.03,17.0756479498908,-3.5909838670000003,17.0,1.3,5.0,1.7999999999999998,3.0,2.692,0.0,0.0,0.0,2.5,2.0,62.9,0.0,17.0
1.63,69.0,12.8,12.8,-4.880140522,18575.12151853951,30.502,0.2,11.03,17.0756479498908,-3.490275372,17.0,2.3,5.0,1.7999999999999998,3.0,2.698,0.0,0.0,0.0,2.5,2.0,62.9,0.0,17.0
1.63,69.0,11.8,11.8,-5.261558525,18575.12151853951,27.491,0.2,11.03,17.0756479498908,-3.866909639,17.0,1.5,5.0,1.7999999999999998,3.0,2.656,0.0,0.0,0.0,2.5,0.0,62.9,0.0,17.0
1.64,69.0,13.0,13.0,-5.552354359000001,18575.12151853951,25.04,0.4,14.32,17.0756479498908,-4.167610763,17.0,2.7,5.0,1.6,3.0,2.729,1.0,0.1,0.2,2.7,3.0,66.2,1.0,22.0
1.63,69.0,12.8,12.8,-5.3367567425,18575.60274197189,20.52,0.2,12.24,16.5944245175099,-3.932037302,16.6,1.4,5.0,1.7999999999999998,3.0,2.69,1.0,0.1,0.2,2.5,3.0,43.0,1.0,16.0
1.64,38.0,11.8,11.8,-5.3277288115,18575.12151853951,23.32,0.4,10.004,17.0756479498908,-3.9269981980000006,17.0,1.6,5.0,1.6,3.0,2.636,0.0,0.0,0.0,2.5,0.0,33.1,0.0,16.0
1.63,69.0,11.8,11.8,-5.5035366125,18575.12151853951,23.32,0.2,10.004,17.0756479498908,-4.102805999,17.0,1.5,5.0,1.7999999999999998,3.0,2.6260000000000003,0.0,0.0,0.0,2.5,0.0,64.1,0.0,17.0
1.45,30.0,11.8,11.8,-4.6303142375,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-3.227512898,17.3,1.2,4.0,2.0,2.0,2.568,0.0,0.0,0.0,2.4000000000000004,2.0,25.1,0.0,16.0
1.52,44.0,10.8,10.8,-5.011732240500001,18574.560849330595,23.32,0.0,10.004,17.6363171588061,-3.604147165,17.3,0.4,4.0,2.0,2.0,2.526,0.0,0.0,0.0,2.4000000000000004,0.0,39.1,0.0,16.0
1.45,33.0,10.8,10.8,-5.0888053840000005,18569.92845529496,22.99,0.0,10.004,22.2687111944408,-3.684747841,17.3,0.4,4.0,2.0,2.0,2.505,0.0,0.0,0.0,2.4000000000000004,0.0,28.1,0.0,16.0
1.45,30.0,11.8,11.8,-4.6982942135000005,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-3.2662305380000003,17.3,1.2,4.0,2.0,2.0,2.584,0.0,0.0,0.0,2.4000000000000004,2.0,25.1,0.0,16.0
1.45,30.0,10.8,10.8,-5.2321201925,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-3.815858985,17.3,0.4,4.0,2.0,2.0,2.513,0.0,0.0,0.0,2.4,0.0,25.1,0.0,16.0
1.5,30.0,11.8,11.8,-4.7791820595,18572.18078877279,23.32,0.0,10.004,20.0163777166128,-3.328595088,17.3,0.2,4.0,2.0,2.0,2.573,0.0,0.0,0.0,2.4000000000000004,2.0,25.1,0.0,16.0
1.45,30.0,11.8,11.8,-4.632794968000001,18569.92845529496,23.32,0.0,10.004,22.2687111944408,-3.227886593,17.3,1.2,4.0,2.0,2.0,2.579,0.0,0.0,0.0,2.4000000000000004,2.0,25.1,0.0,16.0
1.52,44.0,10.8,10.8,-5.014212971,18574.560849330595,23.32,0.0,10.004,17.6363171588061,-3.60452086,17.3,0.4,4.0,2.0,2.0,2.537,0.0,0.0,0.0,2.4000000000000004,0.0,39.1,0.0,16.0
1.45,33.0,10.8,10.8,-5.091286114500001,18569.92845529496,22.99,0.0,10.004,22.2687111944408,-3.685121536000001,17.3,0.4,4.0,2.0,2.0,2.516,0.0,0.0,0.0,2.4000000000000004,0.0,28.1,0.0,16.0
1.64,38.0,10.8,10.8,-5.1366521015,18574.195033509084,23.32,0.4,10.004,18.0021329803168,-3.740260444000001,17.3,0.6000000000000001,5.0,1.6,4.0,2.522,0.0,0.0,0.0,2.4000000000000004,0.0,33.1,0.0,17.0
1.63,69.0,10.8,10.8,-5.3124599025000006,18574.150436930217,23.32,0.2,10.004,18.0467295591839,-3.916068245,17.3,0.5,5.0,1.7999999999999998,4.0,2.512,0.0,0.0,0.0,2.4000000000000004,0.0,64.1,0.0,18.0
1.64,47.0,10.8,10.8,-5.0212460175,18578.35226826842,23.32,0.2,10.004,13.8448982209802,-3.624854360000001,13.8,0.5,5.0,1.7999999999999998,4.0,2.525,0.0,0.0,0.0,2.4000000000000004,0.0,42.1,0.0,17.0
1.64,38.0,12.0,12.0,-5.35241498575,18574.195033509084,23.32,0.2,10.004,18.0021329803168,-3.952839357,17.3,1.6,5.0,1.8000000000000005,3.0,2.624,1.0,0.1,0.2,2.6,3.0,33.1,1.0,16.0
1.63,69.0,12.0,12.0,-5.52822278675,18574.150436930217,23.32,0.0,10.004,18.0467295591839,-4.128647158,17.3,1.5,5.0,2.0,3.0,2.614,1.0,0.1,0.2,2.6,3.0,64.1,1.0,17.0
1.64,38.0,12.0,12.0,-5.317869651500001,18574.195033509084,23.32,0.2,10.004,18.0021329803168,-3.920390793,17.3,1.6,5.0,1.8000000000000005,3.0,2.621,1.0,0.1,0.2,2.6,3.0,33.1,1.0,16.0
1.63,69.0,12.0,12.0,-5.4936774525,18574.150436930217,23.32,0.0,10.004,18.0467295591839,-4.096198594,17.3,1.5,5.0,2.0,3.0,2.611,1.0,0.1,0.2,2.6,3.0,64.1,1.0,17.0
1.64,38.0,10.8,10.8,-5.160943426833001,18574.195033509084,23.32,0.4,10.004,18.0021329803168,-3.7646518810000007,17.3,0.6000000000000001,5.0,1.6,4.0,2.525,0.0,0.0,0.0,2.4000000000000004,0.0,36.7,0.0,17.0
1.45,30.0,11.8,11.8,-4.563347507833,18569.92845529496,23.32,0.2,10.004,22.2687111944408,-3.1443112410000005,17.3,1.2,5.0,1.7999999999999998,4.0,2.5700000000000003,0.0,0.0,0.0,2.4000000000000004,1.0,28.7,0.0,17.0
1.63,69.0,10.8,10.8,-5.336751227833,18574.150436930217,23.32,0.2,10.004,18.0467295591839,-3.940459682,17.3,0.5,5.0,1.7999999999999998,4.0,2.515,0.0,0.0,0.0,2.4000000000000004,0.0,67.7,0.0,18.0
1.45,30.0,11.8,11.8,-4.909154233000001,18575.60274197189,19.174,0.0,10.004,16.5944245175099,-3.4902732930000004,16.6,0.3,4.0,2.0,2.0,2.5540000000000003,1.0,0.1,0.2,2.4000000000000004,3.0,25.1,1.0,16.0
1.45,30.0,11.8,11.8,-4.835837451250001,18572.58665300632,19.174,0.0,10.004,19.6105134830824,-3.4230936560000003,17.3,1.3,4.0,2.0,2.0,2.574,1.0,0.1,0.2,2.4000000000000004,3.0,25.1,1.0,16.0
